id,name,description,price,name_hash,description_hash,price_hash
0,Аппарат HIFU SMAS-лифтинг FU 2.1 MINI," HIFU SMAS FU 2.1 MINI -  для эффективной безболезненной подтяжки кожи лица. -   Под английской аббревиатурой SMAS подразумевается поверхностный мышечно-апоневротический слой кожи. Именно этот слой мышц ответственен за упругость и овал лица. С возрастом слой SMAS ослабевает и мышцы уже не в состоянии удерживать ткани от провисания. Этот процесс неизбежен. И единственным способом устранить гравитационный птоз тканей лица, до недавнего времени, была круговая, хирургическая подтяжка этого слоя.  Рассмотрим принцип действия   Высокоинтенсивный ультразвук генерируется прибором через специальную насадку. Программное обеспечение прибора разработано таким образом, чтобы ультразвуковая волна определенной мощности, проходя сквозь кожный покров, фокусировалась на определенной глубине, в заданной точке. Колебания ультразвука приводят к нагреву ткани в заданной точке, до температуры в 60-65 градусов. Воздействие таким образом на заданную точку, обеспечивает частичную коагуляцию белка ткани. К данной точке начинают подтягиваться близ лежащие ткани. Вся эта процедура расценивается иммунитетом как травма. Организм начинает усиленно заживлять данную область, многократно увеличивая коллагенез, что приводит к выраженной подтяжке кожи и мышц. Современные косметологические аппараты HIFU оснащены как правило, тремя специальными насадками, фокусирующими ультразвук на различной глубине.  Глубина действия выбирается путем выбора соответствующей насадки картриджа:  насадка 1.5 10МГц направляют ультразвуковую энергию на глубину 1,5 мм, их цель область глаз и деликатных зон. насадка 3.0 7МГц направляют ультразвуковую энергию на глубину 3 мм, их цель-глубокие слои дермы. насадка 4.5 4МГц направляют ультразвуковую энергию на глубину 4,5 мм, их цель-соединительные ткани. Таким образом, воздействие идет на все слои кожи, которые ответственны за упругость и овал лица. У 98% пациентов эффект лифтинга виден сразу после процедуры, но гораздо более заметный результат появляется через 3-4 месяца, необходимых для выработки собственного нового коллагена.  Номер сертификата соответствия  № РОСС CN.HB61.H29322  Номер декларации соответствия ЕАЭС N RU Д-CN.РА01.В.56589/21  ",62000.00,6cd8359c6e7f9d5af3a0b10858257753,4427e8ffbcaa8e89ce531da8dfc50afd,333150807844d9b10ffb34dca2ee5c05
1,Аппарат HIFU SMAS-4D лифтинга 8 картриджей," Аппарат сфокусированного ультразвука  для эффективной безболезненной подтяжки кожи лица и тела. -   Комплектация:  8 насадок для лица и тела Это - новый метод подтяжки и омоложения лица с помощью фокусированного ультразвука с высокой интенсивностью. для лица 1,5мм, 3,0мм, 4,5мм  для тела 6,0мм, 8,0мм, 10мм, 13мм, 16мм  Процедура SMAS -  решает следующие проблемы:  ""Второй"" подбородок Гравитационный птоз Деформация тканей лица и шеи Дряблая кожа Изменение контуров лица  А также:  Изменение контуров овала лица; Птоз верхних век; Жировые грыжи нижних век; Морщины в области уголков рта; Уменьшение объема жировой клетчатки в области подбородка и шеи  Номер сертификата соответствия  № РОСС CN.HB61.H29322  Номер декларации соответствия ЕАЭС N RU Д-CN.РА01.В.56589/  ",310000.00,eb0377d3d3336ad683405088ade7c473,2aacd55491189e4ae1cef080fa35a9b4,e83e88867d7e9c0a282620b4f627e33e
2,Аппарат 2 в 1 B55 frozen hifu+ V-max (точечный HIFU SMAS)," Преимущества  1. Использование данной технологии, обеспечивает безопасность и защиту кожи от переохлаждения во время процедуры. 2. Гибкое скольжение frozen HIFU, весь процесс сначала ощущается как прохладный, а затем слегка горячий, и почти безболезненный в отличии от обычной процедуры Hifu. 3. Технология frozen HIFU превосходит традиционную технологию обычного одиночного HIFU. Крио-HIFU-терапия - это безопасный и эффективный, более быстрый с тем же эффектом. Процедура занимает всего 30-40 минут. 4. Один заряд воздействует одновременно на 2 и 4 точки, эффективность повышается. Всего за несколько минут производится 500 точечных воздействий, что обеспечивает безболезненное комфортное лечение и сверхбыструю продолжительность процедуры. 5. Vmax обеспечивает минимальную площадь контакта, облегчает работу в трудно доступных зонах, а также позволяет выполнять более тонкую работу на 360&ordm;. В секунду можно регулировать от 1 до 9 точек, что обеспечивает более высокую скорость, более равномерное распределение точек воздействия. 6. Позволяет сконцентрировать энергию в месте обработки, чтобы равномерно воздействовать на каждую часть для достижения лучшего эффекта.  Показания  Укрепление и омоложение кожи Неинвазивный лифтинг лица Улучшение линии подбородка Улучшение контура тела и подтяжка кожи  Комплектация:  Стандартная рабочая манипула frozen HIFU, и 4 стандартных датчика: 2,0 мм, 3,0 мм, 4,5 мм, 13 мм. -   Примечания: Frozen HIFU имеет 1,5 мм поверхностный датчик для лица и 6,0 мм, 8,0 мм, 10 мм, 16 мм для тела, и соответствующий датчик может быть выбран в зависимости от потребностей. Стандартная рабочая манипула Vmax, и 3 стандартных датчика: 1,5 мм, 3,0 мм, 4,5 мм. -   Примечания: Vmax имеет варианты корпусов манипул 4,5 мм, 8,0 мм, 13 мм, и соответствующий датчик может быть выбран в зависимости от потребностей.  Номер сертификата соответствия  № РООС CN.HE06.H19534 действителен до 25.02.2027 года  ",250000.00,8b7927883b9a55269eb7242bc1865b8c,68b42e0dbe5bb28536e0f36de649bdb2,410cb41fc5900ecb46a87ed332e6fca3
3,Перепрошивка картриджей для аппарата HIFU SMAS," Перепрошивка картриджа для аппарата HIFU SMAS - новая услуга для владельцев аппаратов HiFu SMAS лифтинга! _x000D_
 Картриджы для аппаратов безоперационной подтяжки HiFu (Хайфу) SMAS (СМАС) лифтинга имеют установленные производителем ограничения по количеству импульсов - в большинстве случаев это ограничение в 10000 импульсов. Но ресурс картриджей рассчитан на гораздо большее количество импульсов. _x000D_
 Мы предлагаем новую услугу: Перепрошивка, перепрограммирование,обнуление картриджей для -  систем HIFU(SMAS) лифтинга. _x000D_
 Таким образом, после процедуры обнуления счетчика количества использованных импульсов, ваш картридж опять получает возможность повторно отработать 10000 импульсов, -  что в значительной мере экономит затраты на проведение процедур HIFU(SMAS) лифтинга. ",10000.00,9c3e4ea47159c5d7e78309c79775bbd4,9d962ec75893b18a1ef5c07da7ae034d,b76dbf112777b5ef52341d5fd0c61f60
4,Аппарат HIFU-A SMAS лифтинг 5 картриджей," Аппарат сфокусированного ультразвука   Это - метод подтяжки и омоложения лица с помощью фокусированного ультразвука с высокой интенсивностью. 5 насадок для лица и тела   Процедура SMAS -  решает следующие проблемы:  ""Второй"" подбородок ""Морщины марионетки"" Морщины скорби/печали Асимметрия лица Горизонтальные морщины на лбу Гравитационный птоз Грыжи верхних век Деформация тканей лица и шеи Дряблая кожа Изменение контуров лица Мешки под глазами Морщины ""гусиные лапки"" Морщины различной степени выраженности Опущение брови  А также:  Изменение контуров овала лица Снижение плотности кожи лица Птоз верхних век Жировые грыжи нижних век Морщины в области уголков рта Уменьшение объема жировой клетчатки в области подбородка и шеи -  -  
 Hаcадка кaртpидж 1: 10мГц-1,5 мм (поверхнocтный слoй кожи) Наcaдка каpтpидж 2: 4мГц-3,0 мм (подкожнo-жировой слoй) Наcадкa кaртридж 3: 4мГц-4,5 мм (мышeчный cлой CMAC) Hасaдка кapтридж 4: 4мГц-8,0 мм (телo и зона второго подбородка) Насадка картридж 5: 4мГц-13 мм (тело)  Номер сертификата соответствия  № РОСС CN.HB61.H29322  Номер декларации соответствия ЕАЭС N RU Д-CN.РА01.В.56589/21  ",135000.00,8e0822e40731001b83636418ae38e4f9,749782b0ea9b3fa1cad162fbc3c16de1,0592ed0e5ccde5fbb83d70d63a244bec
5,Аппарат ARVOKA (HIFU) 5 картриджей," Аппарат Arvoka представляет собой ультразвук технологии Hifu, для эффективной безболезненной подтяжки кожи лица и тела. -  Фокусированный на цели (слой дермы, базальный слой, SMAS-слой) для лифтинга кожи.   Функции:  Подтягивает и возвращает тонус нежной коже щек; Подтягивает линию подбородка, уменьшает количество и глубину заломов; Подтягивает кожу в области лба и корректирует линию бровей; Улучшает текстуру кожи, делает ее гладкой и нежной.  Преимущества:  Используя принцип фокусированного ультразвука, подкожное воздействие прибора достигает глубины 3,0 - 4,5 мм, в настоящее время это самый продвинутый метод тепловой обработки в борьбе с морщинами. Новая концепция специального высокоинтенсивного ультразвука заставляет лучше функционировать мышечный слой (SMAS), который является основной причиной появления морщин. Процедура проводится без инвазивного вмешательства. Отсутствие послеоперационных осложнений и длительного восстановления после процедуры. Процедура практически безболезненна и безопасна.  Номер сертификата соответствия  № РОСС CN.HB61.H29322 действителен до 10.10.2024 Номер декларации соответствия ЕАЭС N RU Д-CN.РА01.В.56589/21 до 10.10.2024  ",135000.00,7e35e432a314e9c82ef7b2800f96a8fa,63e5081c4ecefa0d6fa5e17b8573ce84,0592ed0e5ccde5fbb83d70d63a244bec
6,Аппарат HIFU SMAS-лифтинг MINI 5 картриджей," Топовая процедура, которая точно будет востребована в ближайшие годы!  SMAS-лифтинг эффективен при:  возрастном опущении кожи лица (гравитационныи? птоз тканеи?) дряблости кожи лица, шеи, рук, живота и тела потере упругости мимических морщинах на лице, шее и декольте приобретенном нависшем веке, грыже нижних век выраженных носогубных складках застои?ных следах постакне целлюлите и локальных жировых отложениях втором подбородке Аппарат имеет компактные размеры и оснащен манипулой и пятью съемными картриджами для работы на разных участках лица и тела.  Картриджи для тела: 8.0 mm, 13.0 mm Картриджи для лица: 1.5 mm, 3.0 mm, 4.5 mm   Отличный бюджетный вариант для тех косметологов, которые хотят попробовать эту современную методику подтяжки кожи и расширить функционал своего кабинета. ",75000.00,6afc0a95e1340eb818bbc8e7a89105a9,2b85811f7092ff0e2b23c63c216bef4b,4c6fffd65dc4e3bf1f7045e68cb99bca
7,Аппарат HIFU SMAS A5 для интимного омоложения," Функции аппарата:  Сокращение тканей влагалища: быстрая подтяжка тканей на длительное время, устранение растяжек стенок влагалища, устраняет последствия вагинальной релаксации, восстановить секреторные функции желез и повысить местную чувствительность. ",70000.00,5dfa56c3c25778200ea92ad8f9da3dfa,3759952a9d8789729629bb2b5e43fa8a,23837aa2e0b373cea5bcbb472b934a13
8,"Аппарат Zoom Beauty HIFU SMAS (динамическая манипула, криотерапия, RF)"," _x000D_
 Функции:  HIFU SMAS лифтинг Динамический HIFU SMAS Радиолифтинг Криотерапия  Показания к проведению ультразвукового SMAS-лифтинга:  нечеткость контуров лица опущение бровей мешки под глазами второй подбородок носогубные складки морщины и складки на лице и теле усиление лифтинг-эффекта, улучшение качества кожи лица, век Пастозный тип старение, опущение контуров _x000D_
 ",360000.00,cd1e77c973fb23fd20d51ba2df9f1c11,ce22ebce3a49f6b2e69a38934bd25cf8,57623c26587628ae6366f6ac0292ddf9
9,Аппарат HIFU SMAS 12 lines SMAS-лифтинг для омоложения кожи лица и тела," SMAS - это система мимических мышц и соединительнотканных слоев, расположенная глубже подкожной клетчатки. Именно эта система подкожных тканей обеспечивает крепкую сцепку кожи с костными структурами, препятствует контурным изменениям нашего лица и традиционно используется в пластической хирургии для перераспределения и подтяжки мягких тканей во время фейслифтинга.  SMAS-лифтинг  до недавнего времени был исключительно хирургической процедурой, которая проводится только по общей анестезией. Но далеко не каждый, при всей своей страстной тяге к молодости, готов прибегнуть к пластической хирургии.  Показания к проведению ультразвукового SMAS-лифтинга:  нечеткость контуров лица опущение бровей мешки под глазами второй подбородок носогубные складки морщины и складки на лице и теле усиление лифтинг-эффекта, улучшение качества кожи после хирургической пластики лица, век Комплектация 3 картриджа: 1,5 мм, 3,0 мм, 4,5 мм для лица. Плюс 5 картриджей:  6 мм, 8 мм, 10 мм, 13 мм, 16 мм применяются для работы по телу.  Отличительной особенностью аппарата является возможность регулировки от 1 до 12 линий за 1 выстрел.  Номер сертификата соответствия  № РОСС CN.HB61.H29322 действителен до 10.10.2024 Номер декларации соответствия ЕАЭС N RU Д-CN.РА01.В.56589/21 до 10.10.2024  ",350000.00,513e1a4d1c9210edcf75e0e96917e366,e175e001461191ea3869eebbc252a752,53509e431799d816b96a12775df034d8
